"location_category","administrative_district","sth_removals","sth_principal","sth_superintendent","sth_expulsions","non_sth_removals","non_sth_principal","non_sth_superintendent","non_sth_expulsions"
"Elementary","10","*","*","*","*","10","12","*","*"
"Junior High-Intermediate-Middle","10","9","*","*","*","27","7","15","*"
"Early Childhood","10","*","*","*","*","*","*","*","*"
"Early Childhood","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"Secondary School","10","*","15","*","*","20","104","19","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","6","24","*","*"
"High school","10","*","*","*","*","*","24","*","*"
"Secondary School","10","*","*","*","*","*","19","7","*"
"Junior High-Intermediate-Middle","10","*","10","*","*","24","42","17","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","6","11","11","*"
"High school","10","*","8","*","*","29","47","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"K-8","10","26","*","*","*","62","23","*","*"
"K-8","10","*","*","*","*","*","11","*","*"
"High school","10","*","*","*","*","*","*","8","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","7","*","12","12","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"K-8","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","14","*","*","*","12","6","*"
"Elementary","10","*","*","*","*","11","12","*","*"
"Secondary School","10","*","9","*","*","*","50","*","*"
"Elementary","10","*","*","*","*","13","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","25","32","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","6","18","*"
"Secondary School","10","*","*","*","*","20","47","10","*"
"High school","10","*","*","*","*","*","15","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","*","19","*"
"Junior High-Intermediate-Middle","10","*","*","9","*","*","*","24","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","15","*","*"
"High school","10","*","*","*","*","12","22","20","*"
"High school","10","*","*","*","*","*","11","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","18","*","*","17","47","10","*"
"High school","10","*","6","*","*","*","30","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","16","*","*"
"Central-HQ-Citywide","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","17","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","17","*","*","*"
"High school","10","*","*","*","*","*","21","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","6","*","*","*","20","*","*"
"District Pre-K Center","10","*","*","*","*","*","*","*","*"
"High school","10","*","6","*","*","7","92","9","*"
"High school","10","*","*","*","*","*","6","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"High school","10","*","*","*","*","*","*","*","*"
"Ungraded","10","*","*","*","*","*","*","*","*"
"Ungraded","10","*","*","*","*","*","*","*","*"
"Elementary","11","8","*","*","*","21","*","*","*"
"K-8","11","*","*","*","*","8","8","*","*"
"Elementary","11","*","*","*","*","14","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","11","12","*","*"
"Elementary","11","26","*","*","*","35","*","*","*"
"Elementary","11","6","*","*","*","*","*","*","*"
"K-8","11","*","*","*","*","28","18","11","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"K-8","11","*","*","*","*","11","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","8","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","13","*","*","*"
"Elementary","11","*","*","*","*","7","12","7","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","11","15","21","*"
"Elementary","11","*","*","*","*","39","16","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","22","*","*","*"
"K-8","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","10","*","*","*"
"Junior High-Intermediate-Middle","11","9","*","*","*","33","*","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","31","47","14","*"
"Elementary","11","6","*","*","*","10","*","*","*"
"K-8","11","*","*","*","*","*","*","*","*"
"High school","11","*","*","*","*","*","*","*","*"
"High school","11","*","10","*","*","*","64","11","*"
"High school","11","*","26","*","*","10","105","23","*"
"High school","11","*","6","*","*","*","53","10","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","10","*","*","*"
"High school","11","*","*","*","*","15","44","7","*"
"Junior High-Intermediate-Middle","11","*","*","8","*","10","30","25","*"
"High school","11","*","*","*","*","*","47","14","*"
"Junior High-Intermediate-Middle","11","*","*","10","*","*","*","29","*"
"High school","11","*","*","*","*","8","28","7","*"
"High school","11","*","*","*","*","*","51","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","*","9","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","23","12","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","11","*","*","8","*","*","8","15","*"
"High school","11","*","*","*","*","*","*","*","*"
"High school","11","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","11","*","*","*","*","*","*","*","*"
"High school","11","*","*","*","*","*","*","13","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","6","8","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","6","11","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"K-8","11","*","*","*","*","33","24","*","*"
"High school","11","*","*","*","*","*","23","*","*"
"High school","11","*","6","*","*","*","28","*","*"
"High school","11","*","*","*","*","*","24","*","*"
"High school","11","*","8","*","*","*","46","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","10","15","*"
"Junior High-Intermediate-Middle","11","9","*","*","*","18","7","*","*"
"District Pre-K Center","11","*","*","*","*","*","*","*","*"
"High school","11","*","*","*","*","*","*","*","*"
"High school","11","*","*","*","*","14","29","6","*"
"High school","11","*","15","*","*","21","117","27","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","11","*","*","*","*","20","16","15","*"
"Elementary","11","*","*","*","*","*","*","*","*"
"Ungraded","11","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","8","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","6","6","*","*"
"Elementary","12","6","*","*","*","*","7","9","*"
"Elementary","12","*","*","*","*","6","*","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","28","40","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","*","9","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","35","*","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","9","*","*","*"
"Elementary","12","8","*","*","*","16","*","*","*"
"K-8","12","*","*","*","*","39","7","*","*"
"K-8","12","*","*","*","*","*","*","*","*"
"K-8","12","*","*","*","*","23","17","15","*"
"Junior High-Intermediate-Middle","12","*","*","7","*","*","6","13","*"
"Secondary School","12","*","*","*","*","20","47","*","*"
"High school","12","*","13","*","*","9","70","11","*"
"High school","12","*","7","*","*","*","13","7","*"
"Secondary School","12","*","17","*","*","*","120","12","*"
"Secondary School","12","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","18","20","*"
"High school","12","*","*","*","*","*","22","*","*"
"Junior High-Intermediate-Middle","12","*","6","8","*","*","7","8","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","8","13","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","7","*","*"
"Secondary School","12","*","*","*","*","*","27","10","*"
"Junior High-Intermediate-Middle","12","*","*","*","*","*","7","*","*"
"Junior High-Intermediate-Middle","12","15","*","*","*","22","*","*","*"
"High school","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","16","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","8","*","*"
"High school","12","*","13","*","*","*","76","*","*"
"High school","12","*","*","*","*","*","39","*","*"
"High school","12","*","7","*","*","*","47","12","*"
"High school","12","*","*","7","*","*","48","20","*"
"Elementary","12","*","*","*","*","16","*","*","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","*","*","*"
"High school","12","*","*","*","*","*","20","25","*"
"Elementary","12","*","*","*","*","*","*","*","*"
"High school","12","*","6","*","*","*","42","7","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"K-8","13","*","*","*","*","*","7","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","14","*","*"
"Elementary","13","*","*","*","*","12","8","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","6","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","13","*","*","14","*","*","31","28","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Secondary School","13","*","9","*","*","*","26","*","*"
"Junior High-Intermediate-Middle","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"K-8","13","*","17","10","*","21","41","17","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","13","*","*","*","*","*","8","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Elementary","13","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","9","13","*"
"Junior High-Intermediate-Middle","13","*","*","*","*","11","11","13","*"
"High school","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","*","8","*"
"High school","13","*","*","*","*","*","59","14","*"
"High school","13","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","21","*","*"
"K-8","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","6","*","*","18","17","*"
"Secondary School","13","*","*","*","*","*","24","6","*"
"High school","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","13","*","*","*","*","*","*","*","*"
"High school","13","*","13","*","*","*","94","22","*"
"High school","13","*","*","*","*","*","9","10","*"
"High school","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","*","*","*"
"High school","13","*","*","*","*","*","21","9","*"
"Junior High-Intermediate-Middle","13","6","*","*","*","18","41","14","*"
"District Pre-K Center","13","*","*","*","*","*","*","*","*"
"Ungraded","13","*","*","*","*","*","*","*","*"
"Ungraded","13","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Secondary School","14","*","10","*","*","56","86","10","*"
"K-8","14","*","*","*","*","*","*","6","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","14","*","*","*","*","*","15","16","*"
"Elementary","14","*","*","*","*","*","11","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"K-8","14","*","*","*","*","*","*","8","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","14","6","7","*","*","90","121","72","*"
"Early Childhood","14","*","*","*","*","*","*","*","*"
"High school","14","*","*","*","*","*","19","12","*"
"Junior High-Intermediate-Middle","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","*","*","*"
"Elementary","14","*","*","*","*","*","6","*","*"
"Central-HQ-Citywide","14","*","*","*","*","*","*","*","*"
"High school","14","*","*","*","*","*","*","*","*"
"High school","14","*","*","*","*","*","10","*","*"
"High school","14","*","7","*","*","*","52","20","*"
"High school","14","*","16","*","*","*","51","18","*"
"High school","14","*","*","*","*","*","*","*","*"
"High school","14","*","*","*","*","*","51","16","*"
"High school","14","*","8","*","*","*","87","22","*"
"High school","14","*","*","*","*","*","30","*","*"
"Junior High-Intermediate-Middle","14","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","14","*","*","*","*","*","*","*","*"
"Secondary School","14","*","6","*","*","*","12","12","*"
"High school","14","*","8","*","*","*","36","16","*"
"Secondary School","14","*","*","*","*","19","21","18","*"
"High school","14","*","*","*","*","12","23","14","*"
"High school","14","*","*","*","*","6","*","*","*"
"High school","14","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","28","*","6","*"
"Elementary","15","*","*","*","*","14","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","10","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","*","18","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","9","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"Elementary","15","*","*","*","*","10","*","*","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"High school","15","*","7","*","*","*","49","24","*"
"Secondary School","15","7","15","*","*","55","83","7","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","10","9","10","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","6","*","*"
"Secondary School","15","7","*","*","*","36","6","16","*"
"High school","15","*","*","*","*","*","24","*","*"
"High school","15","*","*","*","*","*","8","*","*"
"Secondary School","15","*","*","*","*","18","26","*","*"
"Secondary School","15","*","*","*","*","*","21","8","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"High school","15","*","*","*","*","*","*","27","*"
"High school","15","*","*","*","*","*","*","*","*"
"High school","15","*","*","*","*","*","*","6","*"
"High school","15","*","6","*","*","*","58","10","*"
"High school","15","*","*","*","*","*","82","12","*"
"Elementary","15","*","*","*","*","*","*","*","*"
"High school","15","*","*","*","*","8","7","*","*"
"High school","15","*","*","*","*","6","12","7","*"
"District Pre-K Center","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","64","7","*"
"Early Childhood","15","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","15","*","*","*","*","*","*","*","*"
"District Pre-K Center","15","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"K-8","16","*","*","*","*","*","6","7","*"
"Junior High-Intermediate-Middle","16","*","13","*","*","*","23","10","*"
"K-8","16","*","*","6","*","*","*","27","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","11","*","*","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","8","*"
"High school","16","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","16","*","*","*","*","*","*","*","*"
"High school","16","*","*","*","*","*","27","14","*"
"High school","16","*","14","*","*","*","84","33","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","*","*"
"High school","16","*","*","*","*","*","6","10","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"Elementary","16","*","*","*","*","*","*","*","*"
"High school","16","*","*","*","*","*","*","6","*"
"Junior High-Intermediate-Middle","16","*","*","*","*","*","*","*","*"
"High school","16","*","*","*","*","*","27","8","*"
"High school","16","*","*","*","*","*","17","16","*"
"High school","16","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","6","*","30","*"
"Elementary","17","*","*","*","*","19","7","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"High school","17","*","*","*","*","*","*","15","*"
"K-8","17","*","6","6","*","*","7","6","*"
"Elementary","17","*","*","*","*","*","*","6","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"K-8","17","*","*","*","*","16","17","16","*"
"K-8","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","9","23","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","*","7","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","8","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","18","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","*","*","8","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Secondary School","17","*","10","*","*","34","94","16","*"
"K-8","17","*","*","*","*","7","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"High school","17","*","6","*","*","*","35","*","*"
"Central-HQ-Citywide","17","*","*","*","*","*","*","*","*"
"High school","17","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","17","*","8","*","*","*","7","*","*"
"High school","17","*","*","*","*","18","9","*","*"
"High school","17","*","*","*","*","*","*","*","*"
"High school","17","*","*","*","*","*","11","10","*"
"Secondary School","17","*","*","*","*","7","9","*","*"
"Elementary","17","*","*","*","*","*","*","*","*"
"Secondary School","17","*","*","*","*","*","*","*","*"
"High school","17","*","*","*","*","14","29","16","*"
"High school","17","*","*","*","*","*","46","18","*"
"Secondary School","17","*","*","*","*","*","13","*","*"
"High school","17","*","*","*","*","*","16","*","*"
"High school","17","*","*","*","*","*","66","21","*"
"High school","17","19","24","*","*","80","116","17","*"
"High school","17","*","*","*","*","*","49","6","*"
"Secondary School","17","*","*","*","*","*","26","7","*"
"High school","17","*","11","*","*","28","63","13","*"
"Elementary","17","6","*","*","*","31","*","*","*"
"Junior High-Intermediate-Middle","17","*","*","*","*","16","8","9","*"
"High school","17","*","*","*","*","*","*","*","*"
"High school","17","*","*","*","*","6","33","*","*"
"Elementary","17","*","*","*","*","7","*","*","*"
"K-8","18","*","*","*","*","*","15","*","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","22","26","10","*"
"Elementary","18","*","*","*","*","8","*","6","*"
"Elementary","18","*","*","*","*","*","*","*","*"
"Elementary","18","*","*","*","*","16","10","*","*"
"Elementary","18","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","*","*","*","*"
"Elementary","18","*","*","*","*","*","*","*","*"
"Elementary","18","*","*","*","*","9","*","*","*"
"K-8","18","*","*","*","*","8","*","*","*"
"Elementary","18","*","*","*","*","*","8","*","*"
"Elementary","18","*","*","*","*","*","*","*","*"
"Elementary","18","*","*","*","*","6","8","*","*"
"Elementary","18","8","*","*","*","19","*","*","*"
"Elementary","18","*","*","*","*","16","*","*","*"
"Junior High-Intermediate-Middle","18","14","*","*","*","73","22","20","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","18","*","*","*","*","*","*","*","*"
"High school","18","*","*","*","*","*","34","10","*"
"High school","18","*","*","*","*","*","22","*","*"
"High school","18","*","*","*","*","7","51","17","*"
"High school","18","*","7","*","*","22","52","6","*"
"High school","18","*","*","*","*","*","10","6","*"
"High school","18","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","18","23","*","*","*","64","15","7","*"
"High school","18","*","*","*","*","*","28","11","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","*","*","8","*"
"High school","18","*","12","*","*","*","51","13","*"
"High school","18","*","*","*","*","*","*","*","*"
"High school","18","*","*","*","*","*","75","6","*"
"High school","18","*","*","*","*","*","12","*","*"
"High school","18","*","*","*","*","*","22","6","*"
"High school","18","*","*","*","*","25","58","38","*"
"High school","18","*","*","*","*","*","23","11","*"
"Junior High-Intermediate-Middle","18","*","*","*","*","*","*","*","*"
"High school","18","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","23","*","6","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"K-8","19","*","*","*","*","35","11","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","6","*","*","*"
"Elementary","19","10","*","*","*","55","6","*","*"
"Junior High-Intermediate-Middle","19","*","9","*","*","*","42","22","*"
"K-8","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","10","*","*","*"
"Elementary","19","*","*","*","*","*","18","6","*"
"Junior High-Intermediate-Middle","19","*","*","*","*","*","12","13","*"
"Elementary","19","*","*","*","*","*","15","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Elementary","19","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","19","*","*","19","*","*","11","21","*"
"K-8","19","*","*","*","*","*","14","22","*"
"Junior High-Intermediate-Middle","19","*","*","*","*","*","*","14","*"
